,0
0,restaurant
1,recommended
2,u
3,hotel
4,atmosphere
5,lively
6,busy
7,food
8,excellent
9,good
10,mix
11,standard
12,tapa
13,fresh
14,today
15,dish
16,well
17,priced
18,worth
19,visit
20,wait
21,table
22,glad
23,food
24,really
25,good
26,mixture
27,local
28,tourist
29,nice
30,atmosphere
31,good
32,selection
33,tapa
34,including
35,calamari
36,mixed
37,fried
38,fish
39,iberico
40,ham
41,beef
42,foie
43,gras
44,along
45,tomato
46,bread
47,bill
48,beer
49,large
50,glass
51,white
52,wine
53,water
54,plus
55,tapa
56,euro
57,good
58,value
59,great
60,quality
61,food
62,give
63,try
64,went
65,last
66,night
67,night
68,trip
69,barcelona
70,disappointed
71,arrived
72,early
73,didnt
74,queue
75,sat
76,back
77,annoyed
78,waiter
79,asking
80,water
81,tiniest
82,bottle
83,ever
84,ordered
85,shrimp
86,garlic
87,good
88,tomato
89,bread
90,average
91,tortilla
92,average
93,ham
94,good
95,overall
96,would
97,definitely
98,go
99,back
100,felt
101,super
102,touristy
103,food
104,almost
105,like
106,cafeteria
107,food
108,much
109,better
110,tapa
111,place
112,trip
113,disappointed
114,last
115,meal
116,dont
117,get
118,hype
119,hotel
120,recommended
121,restaurant
122,fabulous
123,great
124,tapa
125,reasonable
126,price
127,twice
128,different
129,item
130,time
131,excellent
132,nice
133,atmosphere
134,usually
135,que
136,well
137,worth
138,wait
139,fantastic
140,meal
141,cervecería
142,catalana
143,food
144,excellent
145,service
146,good
147,really
148,cool
149,atmosphere
150,great
151,selection
152,tapa
153,reasonably
154,priced
155,highly
156,recommend
157,seen
158,review
159,online
160,friend
161,recommendation
162,try
163,glad
164,garlic
165,prawn
166,tomato
167,bread
168,best
169,also
170,tapa
171,beer
172,finished
173,churos
174,euro
175,well
176,worth
177,would
178,definitely
179,go
180,back
181,inside
182,bright
183,modern
184,expecting
185,nice
186,atmosphere
187,great
188,food
189,excellent
190,place
191,high
192,quality
193,small
194,dish
195,wide
196,offer
197,always
198,full
199,need
200,queue
201,go
202,plenty
203,time
204,atmosphere
205,great
206,service
207,fast
208,price
209,reasonable
210,taste
211,local
212,cuisine
213,several
214,small
215,dish
216,go
217,found
218,restaurant
219,chance
220,loved
221,good
222,place
223,quality
224,food
225,good
226,treatment
227,waiter
228,dessert
229,ordered
230,crema
231,catalana
232,best
233,ive
234,ever
235,tasted
236,euro
237,amazing
238,cerveceria
239,catalana
240,simply
241,star
242,category
243,tapa
244,outstanding
245,service
246,outstanding
247,price
248,excellent
249,barcelona
250,night
251,ate
252,night
253,really
254,enjoyed
255,experience
256,great
257,classic
258,tapa
259,almost
260,dished
261,ordered
262,amazing
263,food
264,come
265,quickly
266,best
267,order
268,much
269,time
270,staff
271,friendly
272,however
273,appear
274,bit
275,rushed
276,place
277,seems
278,waiting
279,line
280,outside
281,time
282,really
283,food
284,cerveceria
285,catalana
286,delicious
287,price
288,great
289,friend
290,ordered
291,lot
292,thing
293,pay
294,reasonable
295,price
296,service
297,also
298,good
299,recommend
300,enjoyed
301,tapa
302,restaurant
303,everything
304,good
305,especially
306,garlic
307,prawn
308,went
309,back
310,restaurant
311,day
312,later
313,also
314,one
315,sister
316,restaurant
317,vinitus
318,first
319,discovered
320,place
321,first
322,visit
323,ate
324,x
325,hotel
326,min
327,walk
328,still
329,best
330,recommended
331,place
332,tapa
333,tripadvisor
334,search
335,dont
336,reservation
337,waiting
338,list
339,outside
340,first
341,time
342,unlucky
343,went
344,late
345,wait
346,hour
347,reach
348,somewhere
349,quit
350,mesmerizing
351,view
352,tapa
353,served
354,outside
355,table
356,left
357,made
358,even
359,curious
360,try
361,place
362,visited
363,next
364,time
365,went
366,earlier
367,still
368,wait
369,able
370,seated
371,mawel
372,reception
373,apologized
374,getting
375,table
376,last
377,time
378,seated
379,table
380,end
381,dining
382,hall
383,friendly
384,attending
385,server
386,took
387,order
388,gave
389,wonderful
390,suggestion
391,lovely
392,american
393,couple
394,sitting
395,next
396,table
397,also
398,joined
399,tapa
400,discussion
401,added
402,advise
403,double
404,help
405,ordered
406,shrimp
407,al
408,ajillo
409,tomato
410,bread
411,suggestion
412,server
413,dip
414,bread
415,shrimp
416,sauce
417,also
418,ordered
419,tapa
420,de
421,mercado
422,suggestion
423,american
424,friend
425,entrecote
426,steak
427,drink
428,ordered
429,glass
430,beer
431,shrimp
432,tinto
433,de
434,verano
435,summer
436,red
437,drink
438,steak
439,order
440,delivered
441,time
442,despite
443,packed
444,restaurant
445,hard
446,keep
447,quality
448,high
449,busy
450,place
451,doesnt
452,take
453,reservation
454,say
455,nailed
456,every
457,dish
458,shrimp
459,perfectly
460,cooked
461,sauce
462,heavenly
463,trying
464,bread
465,suggested
466,server
467,perfect
468,idea
469,took
470,taste
471,heaven
472,entrecote
473,steak
474,perfectly
475,medium
476,like
477,flawlessly
478,seasoned
479,tinto
480,de
481,verano
482,doubled
483,taste
484,steak
485,asked
486,couple
487,experience
488,equally
489,impressed
490,chatted
491,bit
492,staff
493,newly
494,made
495,friend
496,asked
497,check
498,cost
499,euro
500,taste
501,fun
502,called
503,real
504,class
505,get
506,customer
507,base
508,yet
509,keep
510,price
511,reasonable
512,thanked
513,server
514,mawel
515,leaving
516,much
517,want
518,start
519,tapa
520,experience
521,barcelona
522,want
523,taste
524,real
525,deal
526,go
527,cerveceria
528,catalana
529,worth
530,wait
531,quality
532,service
533,highly
534,recommended
535,know
536,restaurant
537,since
538,attended
539,many
540,time
541,business
542,barcelona
543,quality
544,still
545,really
546,high
547,went
548,end
549,november
550,colleague
551,expanded
552,restaurant
553,quality
554,still
555,excellent
556,absolute
557,high
558,quality
559,restaurant
560,best
561,tapa
562,ever
563,eat
564,fresh
565,made
566,dessert
567,super
568,w
569,wife
570,kid
571,enjoyed
572,amazing
573,place
574,quiet
575,quick
576,serve
577,amazing
578,tapa
579,taste
580,super
581,friendly
582,staff
583,ready
584,help
585,query
586,liked
587,lunch
588,sure
589,getting
590,everyone
591,nice
592,service
593,food
594,good
595,may
596,try
597,get
598,hubby
599,go
600,went
601,recommendation
602,several
603,site
604,opinion
605,great
606,place
607,tourist
608,huge
609,variety
610,menu
611,high
612,quality
613,food
614,drink
615,barcelona
616,really
617,long
618,wait
619,people
620,clearly
621,happy
622,working
623,disorganized
624,look
625,lost
626,desperate
627,taking
628,care
629,long
630,waiting
631,food
632,good
633,find
634,place
635,better
