,name,number_reviews,rating,address,city
0,BelleBuon,2959,5.0,Travessera de Gràcia 441  Barcelona,Barcelona
1,Fàbrica Moritz Barcelona,2887,4.0,Ronda Sant Antoni 41  Barcelona,Barcelona
2,Ciudad Condal,10184,4.5,Rambla de Catalunya 18 Barcelona,Barcelona
3,La Peninsular,2878,4.5,Carrer Del Mar 29 Barcelona,Barcelona
4,Bella Italia,1394,5.0,Carrer de Roger de Lluria 87 Barcelona,Barcelona
5,Thai Barcelona | Royal Cuisine,1655,4.0,Diputació 273  Barcelona,Barcelona
6,Ramen-ya Hiro,1212,4.5,Carrer Girona 164  Barcelona,Barcelona
7,Le Romane,2226,5.0,Carrer Muntaner 103  Barcelona,Barcelona
8,La Patsa Lab,1779,5.0,Carrer  Casanova 94  Barcelona,Barcelona
9,Cervecería Catalana,12767,4.5,Carrer de Mallorca 236 Barcelona,Barcelona
10,Mirabé,1157,4.5,Carrer  Manuel Arnús 2 Barcelona,Barcelona
11,Flax & Kale,5632,4.5,Carrer dels Tallers 74  Barcelona,Barcelona
12,Can Paixano (La Xampanyeria),2747,4.5,Carrer  de la Reina Cristina  7  Barcelona,Barcelona
13,La Flauta,3515,4.5,Carrer  D aribau 23 Barcelona,Barcelona
14,Les Quinze Nits,5898,3.5,Plaça Reial 6 Barcelona,Barcelona
15,Piazze D'Italia,1956,4.5,Carrer de Casanova 94 Barcelona,Barcelona
16,Can Culleretes,1916,4.0,Carrer  Quintana 5 Ciutat Vella Barcelona,Barcelona
17,4 Gats,4796,3.5,Carrer de Montsio 3 Barcelona,Barcelona
18,Teresa Carles,5043,4.5,Jovellanos 2 Barcelona,Barcelona
19,Can Cortada,1485,4.5,Avinguda de l Estatut de Catalunya s n Barcelona,Barcelona
20,Bar Tomas,848,3.5,Major de Sarrià 49  Barcelona,Barcelona
21,Casa Lolea Barcelona,2681,4.5,Sant Pere Mes Alt 49 Barcelona,Barcelona
22,Via Veneto,616,4.5,Ganduxer 10 12  Barcelona,Barcelona
23,9 Reinas Barcelona,1503,4.5,Carrer de València 267 Barcelona,Barcelona
24,Koku Kitchen Ramen,827,4.5,Carrer  Carabassa 19  Barcelona,Barcelona
25,PETIT BANGKOK,888,4.5,08006  Barcelona,Barcelona
26,7 Portes,8858,4.0,Passeig Isabel II 14  Barcelona,Barcelona
27,Raco D'en Cesc,594,4.5,Carrer  Diputacio 201 Barcelona,Barcelona
28,Bar Cañete,2899,4.5,Carrer de la Unió 17 Barcelona,Barcelona
29,Don Kilo Restaurant,1687,5.0,Carrer de Girona 133  Barcelona,Barcelona
30,Casa Amàlia 1950,711,5.0,Passatge Mercat 4  Barcelona,Barcelona
31,Shunka,1122,4.5,Carrer Sagristans 5  Barcelona,Barcelona
32,Carlota Akaneya,1345,4.5,Pintor Fortuny 32  Barcelona,Barcelona
33,Vinitus,3877,4.5,Carrer de Consell de Cent 333 Barcelona,Barcelona
34,Babula Bar 1937,1054,5.0,Carrer  Pau Claris 139  Barcelona,Barcelona
35,Paco Meralgo,2522,4.5,Carrer  Muntaner 171  Barcelona,Barcelona
