,name,number_reviews,rating,address,city,lat,long
0,BelleBuon,2959,5.0,Travessera de Gràcia 441  Barcelona,Barcelona,41.411242996296295,2.1729473790123457
1,Fàbrica Moritz Barcelona,2887,4.0,Ronda Sant Antoni 41  Barcelona,Barcelona,41.3825668,2.1633965
2,Ciudad Condal,10184,4.5,Rambla de Catalunya 18 Barcelona,Barcelona,41.3888,2.16689
3,La Peninsular,2878,4.5,Carrer Del Mar 29 Barcelona,Barcelona,41.3803594,2.1878722
4,Bella Italia,1394,5.0,Carrer de Roger de Lluria 87 Barcelona,Barcelona,41.3950292,2.1660524
5,Thai Barcelona | Royal Cuisine,1655,4.0,Diputació 273  Barcelona,Barcelona,41.4039736,1.6994345
6,Ramen-ya Hiro,1212,4.5,Carrer Girona 164  Barcelona,Barcelona,41.6538749,2.4443005
7,Le Romane,2226,5.0,Carrer Muntaner 103  Barcelona,Barcelona,41.3887973,2.1563315
8,La Patsa Lab,1779,5.0,Carrer  Casanova 94  Barcelona,Barcelona,41.3869811,2.156921
9,Cervecería Catalana,12767,4.5,Carrer de Mallorca 236 Barcelona,Barcelona,41.3924032,2.1609008
10,Mirabé,1157,4.5,Carrer  Manuel Arnús 2 Barcelona,Barcelona,41.4176492,2.1300113
11,Flax & Kale,5632,4.5,Carrer dels Tallers 74  Barcelona,Barcelona,41.3851539,2.16553
12,Can Paixano (La Xampanyeria),2747,4.5,Carrer  de la Reina Cristina  7  Barcelona,Barcelona,41.3817618,2.1834151
13,La Flauta,3515,4.5,Carrer  D aribau 23 Barcelona,Barcelona,41.3869096,2.1611161
14,Les Quinze Nits,5898,3.5,Plaça Reial 6 Barcelona,Barcelona,41.38009085,2.1750157104781973
15,Piazze D'Italia,1956,4.5,Carrer de Casanova 94 Barcelona,Barcelona,41.3869811,2.156921
16,Can Culleretes,1916,4.0,Carrer  Quintana 5 Ciutat Vella Barcelona,Barcelona,41.3811707,2.1744802
17,4 Gats,4796,3.5,Carrer de Montsio 3 Barcelona,Barcelona,41.3857384,2.1736392
18,Teresa Carles,5043,4.5,Jovellanos 2 Barcelona,Barcelona,41.3851442,2.1680352
19,Can Cortada,1485,4.5,Avinguda de l Estatut de Catalunya s n Barcelona,Barcelona,41.4284929,2.1573998
20,Bar Tomas,848,3.5,Major de Sarrià 49  Barcelona,Barcelona,41.39754135,2.122966241651379
21,Casa Lolea Barcelona,2681,4.5,Sant Pere Mes Alt 49 Barcelona,Barcelona,41.3888056,2.1771897
22,Via Veneto,616,4.5,Ganduxer 10 12  Barcelona,Barcelona,41.3994054,2.1341252
23,9 Reinas Barcelona,1503,4.5,Carrer de València 267 Barcelona,Barcelona,41.3940045,2.1648847
24,Koku Kitchen Ramen,827,4.5,Carrer  Carabassa 19  Barcelona,Barcelona,41.3798961,2.1792406
25,PETIT BANGKOK,888,4.5,08006  Barcelona,Barcelona,41.401093229252176,2.1492441664215267
26,7 Portes,8858,4.0,Passeig Isabel II 14  Barcelona,Barcelona,41.3822633,2.1834209
27,Raco D'en Cesc,594,4.5,Carrer  Diputacio 201 Barcelona,Barcelona,41.4399999,2.0118282
28,Bar Cañete,2899,4.5,Carrer de la Unió 17 Barcelona,Barcelona,41.3791405,2.173138
29,Don Kilo Restaurant,1687,5.0,Carrer de Girona 133  Barcelona,Barcelona,41.3978658,2.1669238
30,Casa Amàlia 1950,711,5.0,Passatge Mercat 4  Barcelona,Barcelona,41.390406,2.010278
31,Shunka,1122,4.5,Carrer Sagristans 5  Barcelona,Barcelona,41.3850824,2.1751679
32,Carlota Akaneya,1345,4.5,Pintor Fortuny 32  Barcelona,Barcelona,41.3824236,2.1687015
33,Vinitus,3877,4.5,Carrer de Consell de Cent 333 Barcelona,Barcelona,41.5393725,2.2716073
34,Babula Bar 1937,1054,5.0,Carrer  Pau Claris 139  Barcelona,Barcelona,41.9137074,2.2301625
35,Paco Meralgo,2522,4.5,Carrer  Muntaner 171  Barcelona,Barcelona,41.3916202,2.15248
36,Season Restaurant Barcelona,558,4.5,Carrer d Aribau 125 Barcelona,Barcelona,41.3914204,2.1552515
