,date,rating_review,reviews
0,14-03-2022,5.0,"This restaurant was recommended to us by our hotel. The atmosphere was lively and busy and the food was excellent, a good mix of standard tapas and ""fresh today"" dishes. Well priced and worth a visit. "
1,07-03-2022,4.0,"Had to wait for a table but glad we did. The food was really good, mixture of locals and tourists but nice atmosphere. We has a good selection of tapas including calamari’s, mixed fried fish, iberico ham and beef with foie gras along with tomato bread. Bill for 2 with a beer 4 large glasses of white wine and water plus all the tapas was 58 euros. Good value for great quality food. Give it a try."
2,28-02-2022,2.0,"We went here on the last night of a 4 night trip to Barcelona and were very disappointed. We arrived early (so we didn't have to queue!)- sat in the back, annoyed the waiter by asking for water (tiniest bottles ever!) and ordered all of our faves- shrimp in garlic (good), tomato bread (average), tortilla (average), ham (good)....overall, I would definitely not go back. Felt super touristy and food was so very average- almost like cafeteria food! We had much better tapas at other places on our trip. Very disappointed for our last meal there. Don't get what all the hype is about!"
3,21-02-2022,5.0,"Our hotel recommended this restaurant. It was fabulous! Great tapas at a very reasonable price. We were here twice and had different items each time. All were excellent! Nice atmosphere too. There’s usually a que, but well worth the wait!"
4,21-02-2022,5.0,"Fantastic meal at Cervecería Catalana. Food was excellent, service good and really cool atmosphere. Great selection of tapas and reasonably priced. Highly recommend."
5,7-02-2022 ,5.0,"I’d seen the reviews online and had a friend recommendation to try here and I’m glad I did! The garlic prawns with tomato bread were the best! I also had some ham/cheese tapas, a beer and finished with some churos. It was 25 euros so well worth it. Would definitely go back! The inside is more bright and modern than I was expecting but it had a nice atmosphere and great food."
6,29-01-2022 ,5.0,"That’s an excellent place. High quality small dishes, with a very wide offer. It is always full, you need to queue. Go with plenty of time. The atmosphere is great, service is fast and prices are reasonable. You can have a taste of the local cuisine with several small dishes. You will not go there only once."
7,25-01-2022 ,5.0,"We found this restaurant by chance and we loved it! Very good place with quality food and very good treatment by the waiters. For dessert I ordered the crema catalana and it is the best I've ever tasted, it was only 2.95 euros, amazing!"
8,20-01-2022 ,5.0,The Cerveceria Catalana was simply 5 Stars in any category. The Tapas were outstanding. The service was outstanding. And the prices were excellent. We were in Barcelona 2 nights and ate there both nights. We really enjoyed our experience.
9,29-12-2021 ,4.0,"Great ' classic' tapas, almost all dished we ordered were amazing. Food comes very quickly, best to not order too much at the same time. Staff is friendly, however can appear a bit rushed as this place seems to have a waiting line outside most of the time. But really a must-try!"
10,27-12-2021 ,5.0,The food in Cerveceria Catalana is delicious and the prices are great. Me and my friend ordered a lot of things and we pay a very reasonable price. The service is also very good. I recommend it 100%.
