,name,number_reviews,rating,address,city,lat,long,geometry
0,BelleBuon,2957,5.0,Travessera de Gràcia 441  Barcelona,Barcelona,41.411242996296295,2.1729473790123457,POINT (2.1729473790123457 41.411242996296295)
1,Fàbrica Moritz Barcelona,2887,4.0,Ronda Sant Antoni 41  Barcelona,Barcelona,41.3825668,2.1633965,POINT (2.1633965 41.3825668)
2,Ciudad Condal,10183,4.5,Rambla de Catalunya 18 Barcelona,Barcelona,41.3888,2.16689,POINT (2.16689 41.3888)
3,La Peninsular,2875,4.5,Carrer Del Mar 29 Barcelona,Barcelona,41.3803594,2.1878722,POINT (2.1878722 41.3803594)
4,La Patsa Lab,1758,5.0,Carrer  Casanova 94  Barcelona,Barcelona,41.3869811,2.156921,POINT (2.156921 41.3869811)
5,Bella Italia,1384,5.0,Carrer de Roger de Lluria 87 Barcelona,Barcelona,41.3950292,2.1660524,POINT (2.1660524 41.3950292)
6,Thai Barcelona | Royal Cuisine,1654,4.0,Diputació 273  Barcelona,Barcelona,41.4039736,1.6994345,POINT (1.6994345 41.4039736)
7,Ramen-ya Hiro,1212,4.5,Carrer Girona 164  Barcelona,Barcelona,41.6538749,2.4443005,POINT (2.4443005 41.6538749)
8,Le Romane,2205,5.0,Carrer Muntaner 103  Barcelona,Barcelona,41.3887973,2.1563315,POINT (2.1563315 41.3887973)
9,Cervecería Catalana,12767,4.5,Carrer de Mallorca 236 Barcelona,Barcelona,41.3924032,2.1609008,POINT (2.1609008 41.3924032)
10,Mirabé,1156,4.5,Carrer  Manuel Arnús 2 Barcelona,Barcelona,41.4176492,2.1300113,POINT (2.1300113 41.4176492)
11,Flax & Kale,5632,4.5,Carrer dels Tallers 74  Barcelona,Barcelona,41.3851539,2.16553,POINT (2.16553 41.3851539)
12,Can Paixano (La Xampanyeria),2746,4.5,Carrer  de la Reina Cristina  7  Barcelona,Barcelona,41.3817618,2.1834151,POINT (2.1834151 41.3817618)
13,La Flauta,3514,4.5,Carrer  D aribau 23 Barcelona,Barcelona,41.3869096,2.1611161,POINT (2.1611161 41.3869096)
14,Les Quinze Nits,5898,3.5,Plaça Reial 6 Barcelona,Barcelona,41.38009085,2.1750157104781973,POINT (2.1750157104781973 41.38009085)
15,Piazze D'Italia,1954,4.5,Carrer de Casanova 94 Barcelona,Barcelona,41.3869811,2.156921,POINT (2.156921 41.3869811)
16,Can Culleretes,1916,4.0,Carrer  Quintana 5 Ciutat Vella Barcelona,Barcelona,41.3811707,2.1744802,POINT (2.1744802 41.3811707)
17,4 Gats,4796,3.5,Carrer de Montsio 3 Barcelona,Barcelona,41.3857384,2.1736392,POINT (2.1736392 41.3857384)
18,Can Cortada,1485,4.5,Avinguda de l Estatut de Catalunya s n Barcelona,Barcelona,41.4284929,2.1573998,POINT (2.1573998 41.4284929)
19,Teresa Carles,5042,4.5,Jovellanos 2 Barcelona,Barcelona,41.3851442,2.1680352,POINT (2.1680352 41.3851442)
20,Bar Tomas,847,3.5,Major de Sarrià 49  Barcelona,Barcelona,41.39754135,2.122966241651379,POINT (2.122966241651379 41.39754135)
21,Casa Lolea Barcelona,2677,4.5,Sant Pere Mes Alt 49 Barcelona,Barcelona,41.3888056,2.1771897,POINT (2.1771897 41.3888056)
22,Via Veneto,616,4.5,Ganduxer 10 12  Barcelona,Barcelona,41.3994054,2.1341252,POINT (2.1341252 41.3994054)
23,9 Reinas Barcelona,1500,4.5,Carrer de València 267 Barcelona,Barcelona,41.3940045,2.1648847,POINT (2.1648847 41.3940045)
24,Koku Kitchen Ramen,805,4.5,Carrer  Carabassa 19  Barcelona,Barcelona,41.3798961,2.1792406,POINT (2.1792406 41.3798961)
25,PETIT BANGKOK,887,4.5,08006  Barcelona,Barcelona,41.401093229252176,2.1492441664215267,POINT (2.1492441664215267 41.401093229252176)
26,7 Portes,8857,4.0,Passeig Isabel II 14  Barcelona,Barcelona,41.3822633,2.1834209,POINT (2.1834209 41.3822633)
27,Raco D'en Cesc,594,4.5,Carrer  Diputacio 201 Barcelona,Barcelona,41.4399999,2.0118282,POINT (2.0118282 41.4399999)
28,Bar Cañete,2899,4.5,Carrer de la Unió 17 Barcelona,Barcelona,41.3791405,2.173138,POINT (2.173138 41.3791405)
29,Don Kilo Restaurant,1686,5.0,Carrer de Girona 133  Barcelona,Barcelona,41.3978658,2.1669238,POINT (2.1669238 41.3978658)
30,Casa Amàlia 1950,708,5.0,Passatge Mercat 4  Barcelona,Barcelona,41.390406,2.010278,POINT (2.010278 41.390406)
31,Carlota Akaneya,1345,4.5,Pintor Fortuny 32  Barcelona,Barcelona,41.3824236,2.1687015,POINT (2.1687015 41.3824236)
32,Shunka,1122,4.5,Carrer Sagristans 5  Barcelona,Barcelona,41.3850824,2.1751679,POINT (2.1751679 41.3850824)
33,Vinitus,3875,4.5,Carrer de Consell de Cent 333 Barcelona,Barcelona,41.5393725,2.2716073,POINT (2.2716073 41.5393725)
34,Babula Bar 1937,1035,5.0,Carrer  Pau Claris 139  Barcelona,Barcelona,41.9137074,2.2301625,POINT (2.2301625 41.9137074)
35,Paco Meralgo,2521,4.5,Carrer  Muntaner 171  Barcelona,Barcelona,41.3916202,2.15248,POINT (2.15248 41.3916202)
36,Vivo Tapas,2260,4.5,Carrer del Rosselló 255  Barcelona,Barcelona,41.3964573,2.1613285,POINT (2.1613285 41.3964573)
37,L’ Amfora Barcelona,1940,4.5,Avenida del Parallel 184 Barcelona,Barcelona,,,POINT EMPTY
38,Season Restaurant Barcelona,557,4.5,Carrer d Aribau 125 Barcelona,Barcelona,41.3914204,2.1552515,POINT (2.1552515 41.3914204)
39,Tapeo,3162,4.5,Montcada 29 Barcelona,Barcelona,41.3845835,2.1817692,POINT (2.1817692 41.3845835)
40,Restaurante La Boqueria,2269,4.5,Carrer de la Boqueria Numero 17  Barcelona,Barcelona,,,POINT EMPTY
41,El Xampanyet,2715,4.5,Carrer de Montcada 22 Barcelona,Barcelona,41.3845086,2.1816748,POINT (2.1816748 41.3845086)
42,Viana,4744,5.0,Carrer del Vidre 7 Barcelona,Barcelona,41.3798805,2.1761037,POINT (2.1761037 41.3798805)
43,La Tasqueta De Blai,2763,4.5,Carrer de Blai 15 17 Barcelona,Barcelona,41.3734583,2.1650747,POINT (2.1650747 41.3734583)
44,El Pachuco,1022,4.5,Sant Pau 110  Barcelona,Barcelona,41.9705297,1.9561762,POINT (1.9561762 41.9705297)
45,Quimet & Quimet,2082,4.5,Poeta Cabanyes 25  Barcelona,Barcelona,41.3739942,2.1655692,POINT (2.1655692 41.3739942)
46,9 Nine,1636,4.5,Carrer Valencia 334  Barcelona,Barcelona,41.6051452,2.3006586,POINT (2.3006586 41.6051452)
47,Restaurante Parrilla Alfonsina,1564,4.5,Diputacio 379 Barcelona,Barcelona,41.3969463,2.1759588,POINT (2.1759588 41.3969463)
48,Restaurante Kurai,687,4.5,Carrer  Tarragona 99  Barcelona,Barcelona,41.4950216,2.1558247,POINT (2.1558247 41.4950216)
49,La Gastronómica Burgers,1338,5.0,Carrer Vilamarí 9 15  Barcelona,Barcelona,41.377667,2.1510657,POINT (2.1510657 41.377667)
50,El Viti Taberna,874,4.5,Passeig Sant Joan 62 Barcelona,Barcelona,41.39670223528352,2.173605476303152,POINT (2.173605476303152 41.39670223528352)
51,Marina Bay Barcelona,1987,4.0,Carrer de la Marina 1921 Barcelona,Barcelona,41.6035426,2.6283259,POINT (2.6283259 41.6035426)
52,Ándele París,717,5.0,Carrer de París 147 Barcelona,Barcelona,41.391560850000005,2.1501035543737643,POINT (2.1501035543737643 41.391560850000005)
53,Anita Flow,1957,5.0,Consell de Cent 413 Barcelona,Barcelona,41.3915392,2.1655104,POINT (2.1655104 41.3915392)
54,Uma,1134,5.0,Carrer de Mallorca 275 Barcelona,Barcelona,41.3947417,2.1635923,POINT (2.1635923 41.3947417)
55,Robata,1367,4.5,Enric Granados 55  Barcelona,Barcelona,41.3360651,2.0432283,POINT (2.0432283 41.3360651)
56,Escriba Gran Via,970,4.5,Gran Via de les Corts Catalanes 546 Barcelona,Barcelona,41.3815258,2.1726713,POINT (2.1726713 41.3815258)
57,La Carmelina,941,5.0,Av  Litoral Nova Icaria 620 Barcelona,Barcelona,,,POINT EMPTY
58,Chaka Khan,2226,5.0,Carrer Hospital 104 Barcelona,Barcelona,41.5830414,2.547256,POINT (2.547256 41.5830414)
59,Pepito Restaurante,1427,4.5,Pasaje Domingo 3  Barcelona,Barcelona,,,POINT EMPTY
60,El Jardinet D'Aribau,767,4.5,Carrer De Aribau 133 Barcelona,Barcelona,41.5377817,2.4321243,POINT (2.4321243 41.5377817)
61,Blu Bar,1015,5.0,Rambla de Poblenou 11 Barcelona,Barcelona,41.2539397,1.5925888,POINT (1.5925888 41.2539397)
62,Bacoa,2676,4.5,Marques de L Argentera 1 Bis Barcelona,Barcelona,41.3845142,2.1847391,POINT (2.1847391 41.3845142)
63,Tlaxcal,908,4.5,Comercio 27  Barcelona,Barcelona,41.3951756,2.1499585,POINT (2.1499585 41.3951756)
64,Bacoa,1762,4.5,Ronda Universidad 31  Barcelona,Barcelona,,,POINT EMPTY
65,Argentinísimo,634,4.5,Carrer  Casanova 70  Barcelona,Barcelona,41.3853997,2.158972,POINT (2.158972 41.3853997)
66,Bar Xapako,897,5.0,Consell de Cent 411  Barcelona,Barcelona,41.3915392,2.1655104,POINT (2.1655104 41.3915392)
67,Bodega Biarritz 1881,4529,4.5,Carrer Vidre 8 Barcelona,Barcelona,41.37979,2.1761266,POINT (2.1761266 41.37979)
68,Restaurant Etapes,1226,4.5,Enric Granados 10 Barcelona,Barcelona,41.6521314,2.7431851,POINT (2.7431851 41.6521314)
69,Gusto,1728,4.5,Carrer  de Rossello 108 Barcelona,Barcelona,41.4968184,2.3611674,POINT (2.3611674 41.4968184)
70,Vai Moana,1685,4.5,Avenida Litoral S N  Barcelona,Barcelona,,,POINT EMPTY
