,0
0,restaurant
1,recommended
2,us
3,hotel
4,atmosphere
5,lively
6,busy
7,food
8,excellent
9,good
10,mix
11,standard
12,tapas
13,fresh
14,today
15,dishes
16,well
17,priced
18,worth
19,visit
20,wait
21,table
22,glad
23,food
24,really
25,good
26,mixture
27,locals
28,tourists
29,nice
30,atmosphere
31,good
32,selection
33,tapas
34,including
35,calamari
36,mixed
37,fried
38,fish
39,iberico
40,ham
41,beef
42,foie
43,gras
44,along
45,tomato
46,bread
47,bill
48,beer
49,large
50,glasses
51,white
52,wine
53,water
54,plus
55,tapas
56,euros
57,good
58,value
59,great
60,quality
61,food
62,give
63,try
64,went
65,last
66,night
67,night
68,trip
69,barcelona
70,disappointed
71,arrived
72,early
73,queue
74,sat
75,back
76,annoyed
77,waiter
78,asking
79,water
80,tiniest
81,bottles
82,ever
83,ordered
84,shrimp
85,garlic
86,good
87,tomato
88,bread
89,average
90,tortilla
91,average
92,ham
93,good
94,overall
95,would
96,definitely
97,go
98,back
99,felt
100,super
101,touristy
102,food
103,almost
104,like
105,cafeteria
106,food
107,much
108,better
109,tapas
110,places
111,trip
112,disappointed
113,last
114,meal
115,get
116,hype
117,hotel
118,recommended
119,restaurant
120,fabulous
121,great
122,tapas
123,reasonable
124,price
125,twice
126,different
127,items
128,time
129,excellent
130,nice
131,atmosphere
132,usually
133,que
134,well
135,worth
136,wait
137,fantastic
138,meal
139,cervecería
140,catalana
141,food
142,excellent
143,service
144,good
145,really
146,cool
147,atmosphere
148,great
149,selection
150,tapas
151,reasonably
152,priced
153,highly
154,recommend
155,seen
156,reviews
157,online
158,friend
159,recommendation
160,try
161,glad
162,garlic
163,prawns
164,tomato
165,bread
166,best
167,also
168,tapas
169,beer
170,finished
171,churos
172,euros
173,well
174,worth
175,would
176,definitely
177,go
178,back
179,inside
180,bright
181,modern
182,expecting
183,nice
184,atmosphere
185,great
186,food
187,excellent
188,place
189,high
190,quality
191,small
192,dishes
193,wide
194,offer
195,always
196,full
197,need
198,queue
199,go
200,plenty
201,time
202,atmosphere
203,great
204,service
205,fast
206,prices
207,reasonable
208,taste
209,local
210,cuisine
211,several
212,small
213,dishes
214,go
215,found
216,restaurant
217,chance
218,loved
219,good
220,place
221,quality
222,food
223,good
224,treatment
225,waiters
226,dessert
227,ordered
228,crema
229,catalana
230,best
231,ever
232,tasted
233,euros
234,amazing
235,cerveceria
236,catalana
237,simply
238,stars
239,category
240,tapas
241,outstanding
242,service
243,outstanding
244,prices
245,excellent
246,barcelona
247,nights
248,ate
249,nights
250,really
251,enjoyed
252,experience
253,great
254,classic
255,tapas
256,almost
257,dished
258,ordered
259,amazing
260,food
261,comes
262,quickly
263,best
264,order
265,much
266,time
267,staff
268,friendly
269,however
270,appear
271,bit
272,rushed
273,place
274,seems
275,waiting
276,line
277,outside
278,time
279,really
280,food
281,cerveceria
282,catalana
283,delicious
284,prices
285,great
286,friend
287,ordered
288,lot
289,things
290,pay
291,reasonable
292,price
293,service
294,also
295,good
296,recommend
297,enjoyed
298,tapas
299,restaurant
300,everything
301,good
302,especially
303,garlic
304,prawns
305,went
306,back
307,restaurant
308,days
309,later
310,also
311,one
312,sister
313,restaurant
314,vinitus
315,first
316,discovered
317,place
318,first
319,visit
320,ate
321,x
322,hotel
323,min
324,walk
325,still
326,best
327,recommended
328,place
329,tapas
330,tripadvisor
331,search
332,reservations
333,waiting
334,list
335,outside
336,first
337,time
338,unlucky
339,went
340,late
341,wait
342,hour
343,reach
344,somewhere
345,quit
346,mesmerizing
347,view
348,tapas
349,served
350,outside
351,tables
352,left
353,made
354,even
355,curious
356,try
357,place
358,visited
359,next
360,time
361,went
362,earlier
363,still
364,wait
365,able
366,seated
367,mawel
368,reception
369,apologized
370,getting
371,table
372,last
373,time
374,seated
375,table
376,end
377,dining
378,hall
379,friendly
380,attending
381,server
382,took
383,order
384,gave
385,wonderful
386,suggestions
387,lovely
388,american
389,couple
390,sitting
391,next
392,table
393,also
394,joined
395,tapas
396,discussion
397,added
398,advise
399,double
400,help
401,ordered
402,shrimps
403,al
404,ajillo
405,tomato
406,bread
407,suggestion
408,server
409,dip
410,bread
411,shrimp
412,sauce
413,also
414,ordered
415,tapa
416,de
417,mercado
418,suggestion
419,american
420,friends
421,entrecote
422,steak
423,drinks
424,ordered
425,glass
426,beer
427,shrimps
428,tinto
429,de
430,verano
431,summer
432,red
433,drink
434,steak
435,order
436,delivered
437,time
438,despite
439,packed
440,restaurant
441,hard
442,keep
443,quality
444,high
445,busy
446,place
447,take
448,reservations
449,say
450,nailed
451,every
452,dish
453,shrimps
454,perfectly
455,cooked
456,sauce
457,heavenly
458,trying
459,bread
460,suggested
461,server
462,perfect
463,idea
464,took
465,taste
466,heaven
467,entrecote
468,steak
469,perfectly
470,medium
471,like
472,flawlessly
473,seasoned
474,tinto
475,de
476,verano
477,doubled
478,taste
479,steak
480,asked
481,couple
482,experience
483,equally
484,impressed
485,chatted
486,bit
487,staff
488,newly
489,made
490,friends
491,asked
492,check
493,cost
494,euros
495,taste
496,fun
497,called
498,real
499,class
500,get
501,customer
502,base
503,yet
504,keep
505,prices
506,reasonable
507,thanked
508,server
509,mawel
510,leaving
511,much
512,want
513,start
514,tapa
515,experience
516,barcelona
517,want
518,taste
519,real
520,deal
521,go
522,cerveceria
523,catalana
524,worth
525,wait
526,quality
527,service
528,highly
529,recommended
530,know
531,restaurant
532,since
533,attended
534,many
535,times
536,business
537,barcelona
538,quality
539,still
540,really
541,high
542,went
543,end
544,november
545,colleague
546,expanded
547,restaurant
548,quality
549,still
550,excellent
551,absolute
552,high
553,quality
554,restaurant
555,best
556,tapas
557,ever
558,eat
559,fresh
560,made
561,desserts
562,super
563,w
564,wife
565,kids
566,enjoyed
567,amazing
568,place
569,quiet
570,quick
571,serve
572,amazing
573,tapas
574,taste
575,super
576,friendly
577,staff
578,ready
579,help
580,queries
581,liked
582,lunch
583,sure
584,getting
585,everyone
586,nice
587,service
588,food
589,good
590,may
591,try
592,get
593,hubby
594,go
595,went
596,recommendation
597,several
598,sites
599,opinions
600,great
601,place
602,tourists
603,huge
604,variety
605,menu
606,high
607,quality
608,food
609,drinks
610,barcelona
611,really
612,long
613,wait
614,people
615,clearly
616,happy
617,working
618,disorganized
619,look
620,lost
621,desperate
622,taking
623,care
624,long
625,waiting
626,food
627,good
628,find
629,places
630,better
631,one
632,barcelona
